Term_English;Istilah_Indonesia;Definisi
Emissions trading;Emissions trading;Pendekatan berbasis pasar untuk mencapai tujuan lingkungan.Hal ini memungkinkan mereka mengurangi emisi gas rumah kaca di bawah payaung emisi mereka untuk menggunakan atau memperdagangkan pengurangan dan kelebihan untuk mengimbangi emisi di lain sumber dari dalam atau luar negeri. Secara umum, perdagangan dapat terjadi pada intraperusahaan, tingkat domestik, dan internasional. Laporan Penilaian kedua oleh IPCC yang mengadopsi konvensi penggunaan izin untuk kuota sistem perdagangan domestik dan internasional untuk sistem perdagangan tersebut. Perdagangan 54 emisi berdasarkan Pasal 17 dari Protocol Kyoto adalah sistem kuota diperdagangkan yang berdasarkan jumlah yang ditentukan atau dihitung dari pengurangan emisi dan komitmen pembatasan yang tercantum dalam Lampiran B dari Protokol.
Emission trajectories;Emission trajectories;Artinya adalah proyeksi dari jalur emisi masa depan, atau mengamati pola emisi.
Endemic;Endemic;Terbatas atau khas suatu tempat atau wilayah. Mengenai kesehatan manusia, endemik dapat merujuk munculnya penyakit atau agen atau yang biasa/lazim ada dalam suatu populasi atau wilayah geografis.
Endogenous technological Change;Endogenous technological Change;Perubahan teknologi endogen adalah hasil dari kegiatan ekonomi dalam model, yaitu, pilihan teknologi termasuk dalam model dan mempengaruhi permintaan energi dan / atau pertumbuhan ekonomi.
Energy;Energy;Jumlah kerja atau panas yang dapat dihasilkan. Energi diklasifikasikan dalam berbagai jenis dan menjadi berguna untuk tujuan manusia ketika ia mengalir dari satu tempat ke tempat lain atau diubah dari satu jenis ke yang lain. Energi primer (juga disebut sebagai sumber energi) adalah energi yang terkandung dalam sumber daya alam (misalnya, batu bara, minyak mentah, gas alam, uranium) yang tidak mengalami konversi antropogenik. Ketika energi ditransformasikan menjadi energi sekunder dengan cara membersihkan (gas alam), penyulingan (minyak dalam produk minyak) atau dengan konversi menjadi listrik atau panas. Ketika energi sekunder disampaikan pada akhir penggunaan fasilitas maka disebut energi final (misalnya listrik pada stop kontak), dimana menjadi energi yang dapat digunakan (misalnya, cahaya). Dalam sehari-hari, matahari memasok jumlah energi terbesar untuk mengubah uap air sebagai curah hujan, muncul angin, dll. Beberapa bahkan disimpan dalam biomassa atau sungai yang dapat dimanfaatkan oleh manusia. Beberapa 55 manfaat langsung dapat digunakan dirasakan seperti hangatnya siang hari, ventilasi atau panas ambien. Energi terbarukan diperoleh dari berkelanjutan atau berulang arus energi yang terjadi di lingkungan alam dan termasuk teknologi non-karbon seperti energi surya, tenaga air, angin, pasang dan gelombang dan panas bumi, serta teknologi karbon-netral seperti biomassa. Energi yang terkandung adalah energi yang digunakan untuk menghasilkan suatu zat bahan (seperti logam diproses atau bahan bangunan), dengan perhitungan energi yang digunakan pada fasilitas manufaktur (orde nol), energi yang digunakan dalam memproduksi bahan-bahan yang digunakan dalam fasilitas manufaktur (urutan pertama), dan sebagainya.
Energy balance;Energy balance;"Perbedaan energi antara yang total masuk dan total keluar. Jika keseimbangan ini adalah positif, maka terjadi pemanasan;jika negatif, maka terjadi pendinginan. Atau setara dengan energi di dunia dalam periode waktu yang lama, keseimbangan ini harus nol. Karena sistem iklim berasal hampir semua energi dari Matahari, keseimbangan nol menyiratkan bahwa, secara global, jumlah radiasi matahari yang masuk pada harus sama dengan jumlah dari radiasi surya tyang dipancarkan dan radiasi infra merah keluar termal yang dipancarkan oleh sistem iklim. Sebuah gangguan dari keseimbangan radiasi global, baik itu antropogenik atau alami, disebut pengaruh radiasi."
Energy efficiency;Energy efficiency;Rasio output energi yang berguna dari suatu sistem, proses konversi atau kegiatan untuk energi masukan.
Energy intensity;Energy intensity;Rasio penggunaan energi ke output ekonomi. Di tingkat nasional, intensitas energi adalah rasio dari total penggunaan energi domestik utama atau penggunaan energi final terhadap Produk Domestik Bruto.
Energy security;Energy security;Mengukur berbagai keamanan energi tertentu pada suatu bangsa, atau masyarakat global secara keseluruhan, harus 56 melakukan untuk mempertahankan pasokan energi yang memadai.
Energy Service Company;ESCO;Suatu perusahaan yang menawarkan layanan energi untuk enduser, menjamin penghematan energi yang ingin dicapai mengikat mereka langsung ke remunerasinya, serta keuangan atau membantu dalam memperoleh pembiayaan untuk operasi dari sistem energi, dan mempertahankan peran on-going dalam memantau penyimpanan selama jangka waktu pembiayaan.
Ensemble;Ensemble;Sekelompok model simulasi paralel yang digunakan untuk proyeksi iklim proyeksi. Variasi hasil di anggota ensemble memberikan ketidakpastian prakiraan. Ensemble dibuat dengan model yang sama tapi kondisi awalnya yang berbeda hanya mengkarakterisasi ketidak pastian terkait dengan variabilitas iklim internal, sedangkan multi-model yang ensembel termasuk simulasi oleh beberapa model juga mencakup dampak dari perbedaan model. Parameter ensembel perturbed (terganggu), dimana parameter model bervariasi dalam secara sistematis, bertujuan untuk menghasilkan perkiraan permodelan yang lebih obyektif daripada ketidakpastian yang mungkin dengan multimodel ensembel tradisional.
Environmental Additionality;Environmental Additionality;"Penambahan lingkungan ditunjukkan jika hasil proyek pengurangan dalam emisi gas rumah kaca, dibandingkan dengan emisi ""bisnis seperti biasa"" atau kasus dasar."
Environmental effectiveness;Environmental effectiveness;Sejauh mana ukuran, memutuskan kebijakan atau menghasilkan instrumen efek lingkungan, sesuai yang diinginkan.
Environmentally sustainable technologies;Environmentally sustainable technologies;Teknologi yang minim polusi, menggunakan sumber daya secara lebih secara berkelanjutan, mendaur ulang lebih dari limbah dan produk mereka, dan dalam menangani limbah sisa dengan cara lebih diterima dibandingkan teknologi yang mereka gantikan. Mereka juga lebih kompatibel dengan budaya nasional sesuai yang ditentukan sosial-ekonomi, dan prioritas lingkungan.
Equilibrium and transient climate experiment;Equilibrium and transient climate experiment;Kesetimbangan percobaan iklim adalah sebuah percobaan di mana model iklim diperbolehkan untuk sepenuhnya menyesuaikan diri dengan perubahan akibat pengaruh radiasi yang meningkat. Eksperimen demikian memberikan informasi tentang perbedaan antara menyatakan awal dan akhir model, tapi tidak pada tergantung respon waktu. Jika pengaruh radiasi yang meningkat diperbolehkan untuk berkembang secara bertahap sesuai untuk skenario emisi yang ditentukan, respon tergantung waktu dari model iklim dapat dianalisis. Percobaan seperti itu disebut percobaan iklim sementara.
Equilibrium line;Equilibrium line;Batas antara wilayah dimana ada pengurangan luasan gletser bersih tahunan (area ablasi) dan bahwa dimana ada penambahan luasan gletser bersih tahunan (daerah akumulasi) massa es. Ketinggian batas ini disebut sebagai ketinggian garis keseimbangan.
Equivalent carbon dioxide (CO2) concentration;Equivalent carbon dioxide (CO2) concentration;Konsentrasi karbon dioksida yang akan menyebabkan hal yang sama pada jumlah pengaruh peningkatan radiasi sebagai campuran yang diberikan karbon dioksida dan gas rumah kaca.
Equivalent carbon dioxide (CO2) emission;Equivalent carbon dioxide (CO2) emission;Jumlah emisi karbon dioksida yang akan menyebabkan pengaruh peningkatan radiasi yang terintegrasi yang sama, selama jangka waktu tertentu, sebagai jumlah yang dipancarkan dari sebuah sumur gas rumah kaca campuran atau campuran gas rumah kaca juga. Emisi karbon dioksida setara yang diperoleh dengan mengalikan emisi gas rumah kaca yang tercampur dengan nilai Potensi Pemanasan Global Potensi waktu horison tertentu. Untuk campuran gas rumah kaca didapatkan dengan menjumlahkan emisi karbon dioksida setara dari masing-masing gas. Emisi karbon dioksida setara adalah standar dan berguna metrik untuk membandingkan emisi gas rumah kaca yang berbeda tapi tidak berarti kesetaraan tepat dari iklim yang berubah sesuai keinginan. 58
Erosion;Erosion;Proses pemindahan dan pengangkutan tanah dan batuan dengan pelapukan, terjadi akibat terbawa dari sungai, gletser, gelombang, angin dan air bawah tanah.
EU Allowance;EU Allowance;Unit Tunjangan Eropa dikeluarkan untuk instalasi yang memiliki paket emisi di bawah Skema Perdagangan Emisi Uni Eropa (EU ETS). Instalasi harus dilaksanakan dan diserahkan pada tujangan Uni Eropa dan / atau kredit proyek karbon yang berbasis sama dengan emisi karbon dioksida yang dipantau oleh ETS tanggal rekonsiliasi tahunan Uni Eropa. Tunjangan Uni Eropa juga merupakan unit utama yang akan diperdagangkan dalam ETS Uni Eropa. Satu tunjangan EU = 1 t CO2e.
European Union Emissions Trading Scheme;EU ETS;ETS Uni Eropa adalah sistem paket dan transaksi yang memungkinkan peserta dari negara-negara yang memenuhi syarat untuk perdagangan Tunjangan Uni Eropa. ETS Uni Eropa berjalan selama delapan tahun, dari 2005 sampai 2007, dan 2008 menjadi 2012 untuk menyesuaikan Periode Komitmen Kyoto pertama.
Eutrophication;Eutrophication;Proses di mana badan air (sering dangkal) berubah menjadi (baik secara alami atau dengan polusi) kaya akan nutrisi terlarut, dengan kekurangan musiman akan kondisi oksigen terlarut.
Evaporation;Evaporation;Proses transisi dari cair ke gas.
Evapotranspiration;Evapotranspiration;Proses gabungan penguapan dari permukaan bumi dan transpirasi dari tumbuh-tumbuhan.
Evidence;Bukti bukti;Informasi atau tanda-tanda yang menunjukkan apakah suatu keyakinan atau proposisi adalah benar atau valid.
Executive Board;Executive Board;Dapat dilihat pada CDM Executive Board. 59
External forcing;External forcing;Pengaruh eksternal mengacu pada sesuatu yang mempengaruhi sistem iklim sehingga menyebabkan perubahan dalam sistem iklim. Seperti letusan vulkanik, variasi matahari dan perubahan antropogenik dikomposisi atmosfer dan perubahan penggunaan lahan yang bersifat sebagai pendorong ekstrenal.
Externalities;Externalities;Terjadi jika perubahan dalam produksi atau konsumsi satu individu atau perusahaan tidak langsung mempengaruhi kesejahteraan individu lain atau perusahaan. Eksternalitas dapat positif atau negatif. Keadaan itu adalah dampak polusi terhadap ekosistem, pencemaran air atau kualitas udara merupakan kasus klasik eksternalitas negatif.
Externality / External cost / External benefit;Externality / External cost / External benefit;Eksternalitas timbul dari kegiatan manusia, ketika suatu lembaga atau badan yang bertanggung jawab untuk kegiatan tersebut tidak memperhitungkan dampak kegiatan terhadap orang lain dan kemungkinan ada konsumsi produksi, dan sementara dapat pula tidak ada kompensasi untuk dampak tersebut. Ketika dampak negatif, sehingga muncul biaya eksternal. Ketika nilainya positif mereka disebut sebagai manfaat eksternal.
Extinction;Extinction;Hilangnya suatu spesies secara keseluruhan global.
Extirpation;Extirpation;"Hilangnya satu spesies dari bagian dari rangkaian; kepunahan lokal."
Extratropical cyclone;Extratropical cyclone;Setiap skala badai siklon yang bukan merupakan siklon tropis. Biasanya mengacu pada sebuah sistem menengah atau lintang tinggi badai migrasi dibentuk di daerah dengan variasi suhu horisontal yang tinggi. Kadang-kadang disebut badai ekstratropis atau ekstratropis rendah.
Extreme coastal high water;also referred to as extreme sea level;Kenaikan muka air yang tinggi dipesisir tergantung pada 60 permukaan laut rata-rata, pasang surut, dan sistem cuaca regional. Peristiwa kenaikan air ekstrim di pesisir biasanya didefinisikan dalam istilah persentil yang lebih tinggi (misalnya, 90 sampai 99.9th) dari distribusi nilai per jam dari permukaan laut yang diamati di stasiun untuk jangka waktu referensi yang diberikan.
Extreme weather event;Extreme weather event;Suatu kejadian cuaca ekstrim adalah suatu peristiwa cuaca yang jarang terjadi di tempat tertentu dan waktu atau tahun tertentu. Banyak definisi dan sangat bervariasi, tetapi peristiwa cuaca ekstrim biasanya akan jarang sebagai kemungkinan yang diamati dari persentil ke-10 atau ke-90 pada kepadatan fungsi. Dengan ketentuan tersebut, karakteristik apa yang disebut cuaca ekstrim dapat bervariasi dari tempat ke tempat secara mutlak. Kejadian ekstrem tunggal tidak bisa dengan sederhana dan langsung dikaitkan dengan perubahan iklim antropogenik, karena selalu ada kesempatan yang mungkin terjadi atau muncul secara alami. Ketika pola cuaca ekstrim berlangsung selama beberapa waktu, seperti musim, mungkin digolongkan sebagai peristiwa iklim ekstrim, terutama jika ia menghasilkan rata-rata atau total yang ekstrim itu sendiri (misalnya, kekeringan atau total curah hujan yang berlebih atau berkurang secara drastis selama musim berlangsung). 61
Faculae;Faculae;Salah satu fenomena yang terjadi di matahari yang menjadikan matahari lebih terang cahayanya karena adanya lidah di matahari. Area yang dicakup oleh faculae adalah lebih besar selama periode aktivitas matahari tinggi.
Feed-in tariff;Feed-in tariff;Harga per unit listrik yang diterapkan oleh pemasok utilitas atau daya memiliki untuk membayar listrik terbarukan yang didistribusikan atau dimasukkan ke dalam grid dengan generator non-utilitas. Disini diberlakukan adanya suatu otoritas yang mengatur tarif publik.
Famine;Famine;Kelangkaan makanan selama jangka waktu yang lama dan di wilayah geografis yang besar, seperti suatu negara. Kelaparan bukan hanya dapat dipicu oleh kejadian iklim ekstrim seperti kekeringan atau banjir, tetapi juga dapat disebabkan oleh penyakit, perang, atau faktor lainnya.
Financial Additionality;Financial Additionality;Penambahan dana diberikan jika proyek meminta dana tambahan, dana ini bukan merupakan mengalihkan dana yang sudah plotkan untuk negara tuan rumah yang masuk dalam bentuk Bantuan Pembangunan.
Fingerprint;Fingerprint;Tanggapan pola iklim dalam ruang dan/atau waktu ke hal yang spesifik seperti pengaruh kenaikan temperature sering disebut sebagai jejak sidikjari (finger print). Sidik jari digunakan untuk mendeteksi keberadaan tanggapan ini dalam pengamatan dan biasanya diestimasi dengan menggunakan simulasi pengaruh model iklim.
Flaring;Flaring;Ruang pembuka untuk pembakaran udara dari limbah gas dan 63 cairan keras, melalui cerobong asap, di sumur minyak atau rig, di kilang atau pabrik kimia dan pada tempat pembuangan sampah.
Flexible mechanisms;Flexible mechanisms;Hal ini mengacu pada mekanisme CDM dan JI, serta International Trading Emisi digambarkan dengan operasionalisasi Log Transaksi Internasional.
Flood;Flood;Peluapan air dari batas-batas normal di wilayah sungai atau badan air lainnya, atau akumulasi air di daerah yang biasanya tidak terendam. Banjir meliputi banjir sungai (fluvial), banjir bandang, banjir perkotaan, banjir yang berhubung dengan hujan, banjir selokan, banjir pesisir, dan banjir ledakan danau glasial.
Flux adjustment;Flux adjustment;Untuk menghindari masalah yang ditambahkan pada pengoperasian Model Sirkulasi Global Atmosphere-Samudra (Atmosphere Ocean Global Circulation Model AOGCM) ke dalam beberapa wilayah realita iklim, istilah penyesuaian aliran (flux adjustment) menekankan akibat pengaruh angin di permukaan laut pada sirkulasi atmosfer-laut yang sebelum ini dikenakan pada model dan kondisi laut. Karena penyesuaian ini adalah dihitung sebelumnya dan oleh karena itu independen dari integrasi model laut dan atmosfer yang digabungkan, mereka berkorelasi dengan anomali yang berkembang selama integrasi. Saat ini banyak kesimpulan bahwa model yang digunakan dalam berbagai laporan tidak memakai penyesuaian aliran, dan bahwa secara umum, model seperti itu lebih sedikit digunakan.
